Country Code,year,ineq_econ,ineq_soc,ineq_phy,overall_score
ABW,2022,0.0,1.0196827904369705,-0.2236912172645479,0.36210404096597854
ABW,2023,0.0,0.5872406778585217,-0.2238382294298194,0.3625205290612166
ABW,2024,0.0,0.485748179103632,0.0,0.4215907809204684
AFG,2022,-0.2460132003303204,-0.6770910960180722,0.30967760857745935,0.6727816043470422
AFG,2023,-0.246754481947087,0.1301736267459926,0.2900264599213236,0.6697390225468978
AFG,2024,-0.2707956307453134,2.872840161942572,0.0,0.48844537511100006
AGO,2022,0.34454124071141795,0.4184040360770533,0.327169378988688,0.5370298918928299
AGO,2023,0.2411617530427468,0.3079670817056025,0.3190042443586284,0.5445479373473752
AGO,2024,0.44078165324418705,0.2111144148526424,0.0,0.393237848755411
ALB,2022,0.028992086810733536,0.5543982947865227,-0.028173913813327286,0.16412581013431002
ALB,2023,0.027988192980387194,0.48427245948442393,0.0062432112029061045,0.16538138381757123
ALB,2024,-0.1360056397034481,1.0914598003918219,0.0,0.3862250813908315
AND,2022,0.0,0.675541710353336,-0.20774811316203906,0.05777998845598848
AND,2023,0.0,1.0310815108734956,-0.17110496433060982,0.05818655005411261
AND,2024,0.0,0.8518004176120914,0.0,0.38488239339826874
ARE,2022,-0.21290132833659017,0.7274973582056674,0.11101662004310411,0.053244306148712395
ARE,2023,-0.22639011458466546,0.6940258745324875,0.20456034676001106,0.05299299883449881
ARE,2024,-0.01485114236194584,0.942348381009,0.0,0.40710998336385856
ARG,2022,-0.12828855928566998,0.8252214075751968,-0.21043995134335566,0.26891056782106776
ARG,2023,-0.13208789536408147,0.741403726109862,-0.1570168110984237,0.2679634321789321
ARG,2024,-0.37195882246967155,0.6410702150956453,0.0,0.39231591684704203
ARM,2022,0.059827793454626056,0.6356171073113619,-0.320661432911948,0.2430280431998556
ARM,2023,0.05702040993747636,0.6301632935126401,-0.19440905375068535,0.23218925418331668
ARM,2024,-0.024641465067116144,0.6003175749744974,0.0,0.38850580307192806
ASM,2022,0.0,0.0,-0.10660027713567856,0.3750210325577205
ASM,2023,0.0,0.0,-0.10691230924726518,0.3772337873654128
ASM,2024,0.0,0.0,0.0,0.4226153601953604
ATG,2022,0.324802660068269,0.46278132498363234,-0.2392565170929374,0.31371418762487524
ATG,2023,0.172450207477389,0.21990173079692857,-0.22218257316287088,0.3263537458166833
ATG,2024,0.0,-0.8065410308521985,0.0,0.42881410207847714
AUS,2022,0.22266197110362757,0.90404223246971,0.23771066203902372,0.0675584924173049
