Country Code,year,ineq_econ,ineq_soc,ineq_phy,overall_score
AFG,2022,-0.2460132003303204,-0.6770910960180722,0.3096776085774593,0.6727816043470422
AFG,2023,-0.246754481947087,0.1301736267459926,0.2900264599213236,0.6697390225468978
AGO,2022,0.3445412407114179,0.4184040360770533,0.327169378988688,0.5370298918928299
AGO,2023,0.2411617530427468,0.3079670817056025,0.3190042443586284,0.5445479373473752
ALB,2022,0.0289920868107335,0.5543982947865227,-0.0281739138133272,0.16412581013431
ALB,2023,0.0279881929803871,0.4842724594844239,0.0062432112029061,0.1653813838175712
ARE,2022,-0.2129013283365901,0.7274973582056674,0.1110166200431041,0.0532443061487123
ARE,2023,-0.2263901145846654,0.6940258745324875,0.204560346760011,0.0529929988344988
ARG,2022,-0.1282885592856699,0.8252214075751968,-0.2104399513433556,0.2689105678210677
ARG,2023,-0.1320878953640814,0.741403726109862,-0.1570168110984237,0.2679634321789321
ARM,2022,0.059827793454626,0.6356171073113619,-0.320661432911948,0.2430280431998556
ARM,2023,0.0570204099374763,0.6301632935126401,-0.1944090537506853,0.2321892541833166
ATG,2022,0.324802660068269,0.4627813249836323,-0.2392565170929374,0.3137141876248752
ATG,2023,0.172450207477389,0.2199017307969285,-0.2221825731628708,0.3263537458166833
AUS,2022,0.2226619711036275,0.90404223246971,0.2377106620390237,0.0675584924173049
AUS,2023,0.2161845413495015,0.8793173728953618,0.3593950541604951,0.0655536179584304
AUT,2022,0.058924636245734,0.6259806643705568,-0.0048881029975062,0.0475110485209235
AUT,2023,0.0833662264109555,0.6071660945814376,0.0316675441248947,0.0396834448884448
AZE,2022,0.1566473583763069,0.2484311947453246,-0.0753112388934724,0.2996196817418692
AZE,2023,0.2675077386121736,0.392761991769969,-0.099040187605543,0.2773157335858585
BDI,2022,0.0942383465332068,0.0978682753267634,0.2317398510507936,0.5009145051300823
BDI,2023,0.0933571768915357,-0.0036906371588421,0.2224582503644173,0.5024152090442235
BEL,2022,-0.2326757732153191,0.8055602842548145,0.009683803751164,0.0480905670093795
BEL,2023,-0.2343424672960697,0.8173311563493146,0.1534169334585885,0.0326327514083139
BEN,2022,0.1212195024061146,-0.5088350769473873,0.2157752810931386,0.6055332035117658
BEN,2023,0.1078550732922319,0.5125665996418808,0.3129236158086912,0.54215919237013
BFA,2022,0.0023800134275283,-0.5881591293290288,0.1755566025786129,0.5737193812229436
BFA,2023,-0.1906675922767887,-0.5372910196950951,0.2091784010231847,0.5697419511183258
BGD,2022,-0.0617478301213358,-0.2568137599417674,0.1945717235992803,0.5202709102633477
BGD,2023,-0.1182439446989321,-0.2755218728357365,0.1397856489610167,0.5183771447372072
BGR,2022,-0.5051102754322194,0.4142027087303846,-0.0609357305337603,0.2017766033202905
BGR,2023,-0.4998701167369739,0.4159005543086114,0.0106696338776694,0.1981512743159615
BHR,2022,-0.2081549067704942,0.4618915495908177,0.0196226832596708,0.1947753428446554
BHR,2023,-0.2205480276306875,0.4841077410498227,-0.0090073573977874,0.2294204570845822
BHS,2022,0.0593380109092419,0.1901518052782838,0.0803297536977473,0.3312503971861473
BHS,2023,0.4239077200703638,0.2782506557339986,-0.0032671483538553,0.3334449613580862
BIH,2022,-0.0361189685624032,0.1100000230353725,-0.1377497573288393,0.1588066677281051
BIH,2023,-0.148221724356267,0.0549791926332121,-0.0601232578939705,0.1551718252025751
BLR,2022,-0.1815002997093925,0.1748211436626887,0.3774736821426639,0.0991896122835498
BLR,2023,-0.2060831756996354,0.2355167867601621,0.4659737824263064,0.0815832334887335
BLZ,2022,0.1948913655884602,-0.0199686673430838,-0.0431295656117267,0.4076146302031303
BLZ,2023,0.1872671350633112,0.0016372731945854,-0.0533819579446273,0.402325795405983
BOL,2022,0.1942808103583075,0.2055863221881029,-0.0076054737916297,0.4224645196262074
BOL,2023,0.1738020941844818,0.2980189238438938,0.0009721726720719,0.4264748548881673
BRA,2022,0.1510668166156269,0.365203877806798,0.0227549590673573,0.373428373189311
BRA,2023,0.0840970326967829,0.2433473132851148,0.0368777033650192,0.3611139367160619
BRB,2022,-0.01163369571086,0.3931123599624518,-0.0728978311859644,0.2781315824869576
BRB,2023,-0.0332702152872607,0.3543902018912436,-0.0564781304493961,0.2811506055749804
BRN,2022,-0.2082248051633115,-0.0971674495357979,-0.3322865236309096,0.2603505755772008
BRN,2023,-0.2174873491007811,-0.0052876993116825,-0.3236873748852577,0.2645964593253967
BTN,2022,-0.1066756261134603,-0.3384306430185229,-0.1242359588975834,0.3736938476731599
BTN,2023,-0.2384541218572363,0.2015401540673967,-0.1251354027627211,0.370871168192918
BWA,2022,0.383827717968054,0.1892016215468655,-0.1203658652810064,0.4722903120976244
BWA,2023,0.4177178383210843,0.1311086280549556,-0.1208650641799178,0.4752902295482291
CAF,2022,0.3199531671436618,0.2034461790248407,1.0769405612791298,0.6787069957091524
CAF,2023,0.3202469776388796,0.169191247653317,0.6378084585748597,0.6427881684357314
CAN,2022,0.1926968681092167,0.729631317713121,-0.0177517695369936,0.0696113865995116
CAN,2023,0.1985800215177327,0.7148941637953466,0.1315977767400533,0.070347373522311
CHE,2022,0.1009482653163192,0.6905386425612162,0.0856974832399021,0.0242926994810745
CHE,2023,0.092564221270227,0.7605984053032713,0.0576785907358743,0.0241997246225996
CHI,2022,-0.1558508902502447,-0.1659322083835041,-0.5613718509349122,0.3148523706709956
CHI,2023,-0.1614054796225057,-0.1710143229070281,-0.5601695661303812,0.3145472992424242
CHL,2022,-0.1785720731498869,0.315711108181486,-0.1351356938102124,0.1575219501266278
